Image	Name	Object ID	Area µm^2	Circularity	Max diameter µm	Min diameter µm	Hematoxylin: Mean	Hematoxylin: Min	Hematoxylin: Max	Hematoxylin: Std.Dev.	Number of nuclei	Area Ratio %	Nuclei Area µm^2: Mean	Diameter Ratio %: Min	Nuclei diameter µm: Mean Min	Diameter Ratio %: Max	Nuclei diameter µm: Mean Max	Circularity Ratio %	Nuclei Circularity µm: Mean	Nuclei Hematoxylin: Min	Nuclei Hematoxylin: Max	Nuclei Hematoxylin: Mean	Nuclei Hematoxylin: Std.Dev.
N194_HE_LF_Detection.ome.tiff	MK	0cb5b8bb-b0dc-4aed-8b9f-39bfb8e80395	1353.932	0.5394	48.4871	37.3666	0.204	-0.0467	1.0995	0.1502	2	20.9816	284.073	31.5182	11.7773	30.5248	0.7646	175.46	0.0489	0.0913	0.7406	0.7406	0.7406
N194_HE_LF_Detection.ome.tiff	MK	51e4d2e8-c3db-4d14-8e55-d63535807a9b	1279.4861	0.57	47.9294	38.3907	0.2201	0.0121	0.8784	0.1099	3	22.286	285.1515	23.6309	9.0721	27.2212	0.674	156.0636	0.046	0.1008	0.8627	0.8627	0.8627
N194_HE_LF_Detection.ome.tiff	MK	d890ffac-9620-418b-a422-9e258daa457b	957.5451	0.5997	42.2689	32.2758	0.1302	0.0517	0.2219	0.0172													
N194_HE_LF_Detection.ome.tiff	MK	2e3cacae-ad6c-4e54-a586-47150cd5c46f	943.0073	0.518	48.7107	29.2466	0.2688	-0.0111	1.017	0.1743	4	26.7174	251.9439	26.9467	7.881	23.2687	0.5855	160.6053	0.043	0.0622	0.9611	0.9611	0.9611
N194_HE_LF_Detection.ome.tiff	MK	bad85aef-2f39-4619-8156-f85fcdaf9971	977.6584	0.4987	47.1918	32.377	0.2021	-0.0114	1.11	0.1167	1	4.8792	47.7015	20.1838	6.5349	19.8036	0.4828	160.3203	0.0413	0.0082	1.1371	1.1371	1.1371
N194_HE_LF_Detection.ome.tiff	MK	c94be3d9-a2bc-4390-8497-452ec1460241	688.2587	0.4951	39.5491	28.802	0.2312	0.0569	0.8691	0.1689	2	18.2782	125.7996	29.2006	8.4104	28.2617	0.5774	172.8371	0.0442	0.1626	0.8678	0.8678	0.8678
N194_HE_LF_Detection.ome.tiff	MK	51081f7d-3f45-4320-8347-abceb8e400a5	873.8865	0.5255	38.0151	32.9474	0.1979	0.0567	0.4072	0.0444													
N194_HE_LF_Detection.ome.tiff	MK	c41a25c9-9fab-47b3-aad2-f92df8ed041b	812.2634	0.4002	46.0515	28.3658	0.2748	0.0348	0.9388	0.156	2	18.1962	147.7992	25.5204	7.2391	23.7449	0.5649	206.9688	0.0428	0.2887	0.7815	0.7815	0.7815
N194_HE_LF_Detection.ome.tiff	MK	cf2f8f86-3a0c-4675-9c93-c406e77aad90	687.1285	0.5882	33.9006	26.8467	0.2828	0.0626	0.8664	0.1289	3	20.409	140.2398	25.971	6.9724	25.346	0.4439	162.4047	0.0494	0.1801	0.8436	0.8436	0.8436
N194_HE_LF_Detection.ome.tiff	MK	4694884b-fe6f-43e9-8f3a-2f47b1ecdc80	685.7119	0.4369	45.0836	21.8185	0.2367	0.1168	0.6999	0.1005	2	23.4445	160.7643	34.3224	7.4886	31.5783	0.7355	173.8301	0.0392	0.1644	0.5517	0.5517	0.5517
N194_HE_LF_Detection.ome.tiff	MK	ba2ac9eb-fc2e-40aa-8a92-ec4fa3bfcc33	600.8967	0.5646	31.7762	26.8472	0.2658	0.0248	1.3424	0.1449	2	32.0016	192.2984	36.0373	9.675	40.5763	0.6661	160.5463	0.0468	0.103	1.3104	1.3104	1.3104
N194_HE_LF_Detection.ome.tiff	MK	9e26fa36-2525-4117-aadc-7e01a056f354	506.5814	0.5665	29.6717	24.2087	0.2787	0.0679	0.9258	0.1241	2	22.7035	115.0142	27.2376	6.5939	37.7395	0.5785	156.2979	0.0457	0.1377	0.9762	0.9762	0.9762
N194_HE_LF_Detection.ome.tiff	MK	0fffd131-1d89-4436-bef5-eddd3d88f9f4	459.2097	0.5003	31.7351	20.9313	0.2267	0.0082	0.951	0.1137	2	20.7371	95.2255	34.5729	7.2366	26.4853	0.4342	194.7531	0.0503	0.1548	0.8827	0.8827	0.8827
N194_HE_LF_Detection.ome.tiff	MK	d9c5db67-a68d-4839-a2d1-e2eef8f9bc61	451.6168	0.4797	31.7998	24.3705	0.1144	-0.0474	0.3713	0.0541													
N194_HE_LF_Detection.ome.tiff	MK	f2ea55fb-3c15-4311-b654-b5ca37a4b6cf	445.915	0.5547	29.8894	21.2941	0.252	0.0076	1.2457	0.1491	2	22.7541	101.4684	31.0447	6.6107	33.0859	0.5109	153.6682	0.044	0.0727	1.0215	1.0215	1.0215
N194_HE_LF_Detection.ome.tiff	MK	d521ab0c-2844-4a6c-b163-6fcc2ac0e40d	412.7521	0.5428	27.0384	22.7183	0.2333	0.0223	1.0256	0.1076	2	24.4933	101.0991	27.9538	6.3506	36.6809	0.5124	161.7541	0.0454	0.1314	0.8733	0.8733	0.8733
N194_HE_LF_Detection.ome.tiff	MK	2ca218ef-c0c9-42d8-9df9-b09cb75fc19e	380.5342	0.5456	25.5531	20.4452	0.2075	0.0305	0.9008	0.1019	1	16.0788	61.186	37.7864	7.7255	40.3954	0.5333	170.2268	0.048	0.1501	0.9622	0.9622	0.9622
N194_HE_LF_Detection.ome.tiff	MK	ab02b646-897c-4b57-a3ae-02ef2774cfbd	376.7308	0.5564	29.1712	17.8514	0.328	0.0637	0.9464	0.1592	3	34.6651	130.5994	35.0124	6.2502	28.4332	0.4285	153.7704	0.0442	0.1424	0.9045	0.9045	0.9045
N194_HE_LF_Detection.ome.tiff	MK	8431716d-30da-4ce6-a530-ac0eb8ba0706	371.5311	0.5027	27.9756	19.3623	0.3045	0.0888	0.8453	0.1461	2	38.6871	143.7351	40.3981	7.822	36.8431	0.5325	170.8535	0.0444	0.2427	0.8264	0.8264	0.8264
N194_HE_LF_Detection.ome.tiff	MK	0d6597ed-f92d-483f-ad28-57385ebdeefe	336.9244	0.5628	26.0598	17.8965	0.2441	0.0557	1.0689	0.1692	2	18.3576	61.8534	32.3016	5.7809	27.0674	0.3644	170.1791	0.0495	0.167	1.0635	1.0635	1.0635
N194_HE_LF_Detection.ome.tiff	MK	3aa283a0-22a0-4125-8cd7-4cd4ebbfa15e	284.3227	0.4462	26.4818	17.1313	0.1329	0.0191	0.4655	0.0611													
N194_HE_LF_Detection.ome.tiff	MK	9443eddb-0964-4408-92ee-7ae40d32aaa4	253.0758	0.4819	25.846	14.8732	0.104	-0.0553	0.2406	0.0387													
N194_HE_LF_Detection.ome.tiff	MK	9c5a262d-8757-4d29-9dc5-603641d962f6	238.8506	0.5636	24.0459	13.0803	0.2086	0.0821	0.317	0.0541	2	49.4463	118.0988	54.9794	7.1915	48.0946	0.5974	116.2713	0.0339	0.1214	0.3068	0.3068	0.3068
N194_HE_LF_Detection.ome.tiff	MK	a59a0aad-5cf1-4da6-bdf4-f8d97ba93783	235.0561	0.5547	20.8783	16.1284	0.2494	0.0534	0.7134	0.1099	2	46.1674	108.518	45.646	7.362	57.2954	0.618	113.7673	0.0326	0.1521	0.5769	0.5769	0.5769
N194_HE_LF_Detection.ome.tiff	MK	cde46635-a9db-4753-813b-5a8626c25c44	232.6938	0.4919	26.7855	12.8935	0.1703	0.0675	0.2602	0.0237	1	79.5882	185.1883	97.7292	12.6007	74.5722	1.0319	144.2482	0.0367	0.0407	0.262	0.262	0.262
N194_HE_LF_Detection.ome.tiff	MK	9d6342bb-11c4-47ff-85d9-d93f3014925c	222.2646	0.4535	24.4457	13.631	0.196	-0.0034	0.5362	0.0692													
N194_HE_LF_Detection.ome.tiff	MK	ffdab94e-2994-4adc-8821-ea693a4fc8f0	216.0795	0.5298	21.0613	14.0609	0.3865	0.0349	1.0485	0.173	1	80.7947	174.5929	82.6291	11.6184	91.2677	0.993	133.1697	0.0364	0.0021	1.0387	1.0387	1.0387
N194_HE_LF_Detection.ome.tiff	MK	7d5bf5cf-ae67-4ce1-816c-8379f1f31386	208.0402	0.5101	25.9128	11.0142	0.1217	0.0332	0.2622	0.0418													
N194_HE_LF_Detection.ome.tiff	MK	cac860c1-d7b7-422b-b557-087660d25a1f	202.8091	0.4139	24.9595	14.1735	0.4803	0.0811	1.1066	0.2371	1	62.738	127.249	70.6527	10.014	68.7015	0.8859	192.3344	0.0411	0.0674	1.1497	1.1497	1.1497
N194_HE_LF_Detection.ome.tiff	MK	9da0a6cd-ca62-4beb-9dd5-e1d9bccf17c8	201.4014	0.5561	19.0071	15.4807	0.3058	0.0527	0.7652	0.1681	1	40.7354	82.0442	54.1971	8.3901	67.4828	0.6626	159.0209	0.0457	0.1046	0.7566	0.7566	0.7566
N194_HE_LF_Detection.ome.tiff	MK	bdf8da59-e9d6-4939-8433-6d4e033e816c	196.6651	0.5659	19.2872	13.6304	0.5977	0.1021	1.1413	0.1868	1	84.2568	165.7052	87.5985	11.9401	91.5094	0.9118	149.7517	0.0438	0.2049	1.285	1.285	1.285
N194_HE_LF_Detection.ome.tiff	MK	72326b10-a90c-4ae3-b46a-4bc1ecb631d7	194.137	0.5361	20.9362	12.9308	0.1125	0.0165	0.2189	0.0341													
N194_HE_LF_Detection.ome.tiff	MK	8245dc63-fd71-43a3-aeb5-66899c5c7136	187.1932	0.5618	21.2522	12.8429	0.4486	0.0566	1.1865	0.1886	1	63.2441	118.3862	74.3851	9.5532	78.0301	0.8567	130.9479	0.038	0.1117	1.2195	1.2195	1.2195
N194_HE_LF_Detection.ome.tiff	MK	0081314a-9caa-4bcc-8aea-8eaac849caef	186.2524	0.5835	19.1769	13.7698	0.3086	0.0687	0.7794	0.1361	1	36.9917	68.8934	57.6065	7.9323	60.1049	0.5955	156.7121	0.0472	0.1474	0.7803	0.7803	0.7803
N194_HE_LF_Detection.ome.tiff	MK	8dbd6379-e802-4953-b6f4-81cfc43bd787	184.3401	0.5775	18.4797	14.0148	0.3644	0.0325	0.9882	0.2008	1	42.9717	79.2162	65.9929	9.2487	59.7381	0.5703	167.3503	0.0499	0.1251	1.0978	1.0978	1.0978
N194_HE_LF_Detection.ome.tiff	MK	5939025c-4804-4a64-a904-5d4336c6d823	167.2847	0.4436	22.8066	12.1695	0.2638	0.0387	0.8979	0.1452	1	44.3498	74.1901	65.5629	7.9786	53.0839	0.6254	190.7273	0.0437	0.1357	0.9864	0.9864	0.9864
N194_HE_LF_Detection.ome.tiff	MK	c29a83a2-d44f-4123-bb37-b3de310d42e1	154.0063	0.5522	16.7104	12.9308	0.2238	0.0424	0.7202	0.1044	1	47.5478	73.231	68.5779	8.8677	64.1719	0.554	175.8749	0.0502	0.0616	0.909	0.909	0.909
N194_HE_LF_Detection.ome.tiff	MK	eb4c6536-267c-45c9-b3f9-9fd54c290059	129.385	0.5102	19.4967	9.7374	0.4564	0.1589	0.7941	0.1129	2	89.6419	115.9729	80.5773	7.8461	54.1714	0.5456	153.0687	0.0403	0.1875	0.7558	0.7558	0.7558
